Index dist_to_goal_AAPF_OriON dist_to_goal_APF_OriON dist_to_goal_AAPF_OriOFF
0 0.7983926321148869 0.7983926321148869 0.7983926321148869
1 0.7882634605693294 0.7882634605693294 0.7872015479413329
2 0.7784992302666102 0.7784992302666102 0.7759324945659158
3 0.7681530222833438 0.7681530222833438 0.7645899908690791
4 0.7577045800326084 0.7577045800326084 0.7531788237345896
5 0.7471622247737875 0.7471622247737875 0.7417040569808347
6 0.7371080411346119 0.7371080411346119 0.7301710405424308
7 0.7263927005450505 0.7263927005450505 0.7185854198917291
8 0.7155962692743639 0.7155962692743639 0.7069531456817146
9 0.7047238743845636 0.7047238743845636 0.6952804835815514
10 0.6944333067346068 0.6944333067346068 0.6835740242631865
11 0.6834139046393077 0.6834139046393077 0.6718406934815583
12 0.6723322553806861 0.6723322553806861 0.6600877621714591
13 0.6611941263324319 0.6611941263324319 0.6483228564604586
14 0.6500959994558639 0.6500959994558639 0.6365539674687719
15 0.6388664777724529 0.6388664777724529 0.6247894607329233
16 0.6275984875411943 0.6275984875411943 0.6130380850497407
17 0.6162989963365599 0.6162989963365599 0.6013089804899432
18 0.6050778816127427 0.6050778816127427 0.5896116852756461
19 0.5937360103281752 0.5937360103281752 0.5779561411530061
20 0.5823846910212969 0.5823846910212969 0.5663526968195793
21 0.5711389203232287 0.5711389203232287 0.5548121088858023
22 0.5597886389259199 0.5597886389259199 0.5433455397617796
23 0.5484544456514397 0.5484544456514397 0.5319645517654851
24 0.537249719474689 0.537249719474689 0.5206810966486167
25 0.5259667018276204 0.5259667018276204 0.5095074996350396
26 0.5147291529615944 0.5147291529615944 0.49845643696886666
27 0.5035483436054313 0.5035483436054313 0.4875409058814368
28 0.49250846432132367 0.49250846432132367 0.4767741858176911
29 0.48145765243490923 0.48145765243490923 0.46616978972398976
30 0.47049860041051056 0.47049860041051056 0.45574140420503195
31 0.4596907821982556 0.4596907821982556 0.44550281742340814
32 0.44892870841146376 0.44892870841146376 0.4354678337592615
33 0.43829762608281164 0.43829762608281164 0.42565017448830256
34 0.427822230174855 0.427822230174855 0.41606336409161754
35 0.41746161669802756 0.41746161669802756 0.4067206022947056
36 0.40727495870014285 0.40727495870014285 0.3976346225537248
