Index Joint1 Joint2 Joint3 Joint4 Joint5 Joint6
0 3.139318617769042 -1.5696891801148605 0.018497592588071234 -1.5718189439270047 -1.5738378559823738 -1.5734920863090822
1 3.1378463201572395 -1.5686685013688015 0.03651136972466055 -1.5730242418047236 -1.5735807750090154 -1.5726354503568243
2 3.136485460916048 -1.5676472596538684 0.05471973919209115 -1.5742370260236953 -1.5736102636734823 -1.5717259232782828
3 3.1352300037887604 -1.5666254827713983 0.07311193527256736 -1.5754597655698965 -1.5739174454793006 -1.5707575886470844
4 3.1340739125186676 -1.5656031985227286 0.09167719224829346 -1.5766949294293038 -1.5744934439299965 -1.5697245300368559
5 3.133011150849063 -1.5645804347091965 0.11040474440147376 -1.5779449865878938 -1.5753293825290973 -1.5686208310212233
6 3.1320356825232367 -1.5635572191321394 0.12928382601431254 -1.5792124060316426 -1.5764163847801294 -1.5674405751738139
7 3.13114147128448 -1.5625335795928936 0.1483036713690141 -1.5804996567465257 -1.577745574186618 -1.5661778460682527
8 3.130322480876087 -1.5615095438927966 0.16745351474778272 -1.581809207718521 -1.5793080742520915 -1.564826727278168
9 3.1295726750413473 -1.5604851398331863 0.1867225904328227 -1.5831435279336041 -1.5810950084800746 -1.5633813023771843
10 3.1288860175235538 -1.5594603952153994 0.2061001327063384 -1.584505086377752 -1.5830975003740955 -1.56183565493893
11 3.1282564720659978 -1.558435337840773 0.225575375850534 -1.58589635203694 -1.585306673437679 -1.5601838685370304
12 3.127678002411972 -1.5574099955106444 0.2451375541476139 -1.5873197938971462 -1.587713651174353 -1.5584200267451127
13 3.1271445723047666 -1.5563843960263504 0.2647759018797823 -1.5887778809443451 -1.590309557087643 -1.5565382131368029
14 3.1266501454876736 -1.5553585671892285 0.2844796533292435 -1.5902730821645141 -1.5930855146810754 -1.5545325112857271
15 3.1261886857039864 -1.5543325368006164 0.30423804277820193 -1.5918078665436297 -1.5960326474581776 -1.552397004765513
16 3.1257541566969964 -1.553306332661851 0.3240403045088618 -1.5933847030676687 -1.5991420789224762 -1.5501257771497865
17 3.1253405222099935 -1.5522799825742692 0.3438756728034274 -1.5950060607226069 -1.6024049325774963 -1.547712912012174
18 3.1249417459862703 -1.5512535143392077 0.3637333819441029 -1.5966744084944198 -1.6058123319267648 -1.545152492926301
19 3.1245517917691195 -1.5502269557580046 0.3836026662130928 -1.5983922153690857 -1.6093554004738087 -1.5424386034657955
20 3.124164623301832 -1.5492003346319967 0.40347275989260123 -1.6001619503325797 -1.6130252617221545 -1.5395653272042835
21 3.1237742043277006 -1.5481736787625218 0.4233328972648327 -1.6019860823708791 -1.6168130391753288 -1.5365267477153917
22 3.1233744985900156 -1.5471470159509157 0.4431723126119912 -1.6038670804699595 -1.6207098563368572 -1.533316948572746
23 3.12295946983207 -1.546120373998517 0.46298024021628137 -1.605807413615798 -1.624706836710267 -1.5299300133499736
24 3.122523081797155 -1.5450937807066623 0.4827459143599073 -1.6078095507943704 -1.6287951037990847 -1.5263600256207004
25 3.1220592982285615 -1.5440672638766881 0.5024585693250732 -1.6098759609916529 -1.6329657811068357 -1.5226010689585527
26 3.1215620828695836 -1.5430408513099332 0.5221074393939835 -1.6120091131936232 -1.6372099921370478 -1.518647226937158
27 3.1210253994635107 -1.5420145708077335 0.5416817588488426 -1.6142114763862565 -1.641518860393247 -1.5144925831301421
28 3.1204432117536363 -1.5409884501714266 0.5611707619718544 -1.6164855195555299 -1.6458835093789594 -1.5101312211111313
29 3.1198094834832513 -1.5399625172023497 0.5805636830452239 -1.6188337116874192 -1.6502950625977122 -1.5055572244537527
30 3.119118178395646 -1.5389367997018393 0.5998497563511546 -1.6212585217679012 -1.654744643553031 -1.500764676731632
31 3.118363260234115 -1.5379113254712335 0.6190182161718512 -1.623762418782952 -1.659223375748443 -1.4957476615183962
32 3.1175386927419497 -1.53688612231187 0.6380582967895181 -1.626347871718549 -1.6637223826874747 -1.4905002623876722
33 3.1166384396624407 -1.5358612180250844 0.6569592324863593 -1.6290173495606677 -1.6682327878736523 -1.485016562913086
34 3.115656464738879 -1.534836640412215 0.6757102575445793 -1.631773321295284 -1.672745714810502 -1.4792906466682638
35 3.1145867317145584 -1.5338124172745982 0.6943006062463822 -1.6346182559083755 -1.6772522870015507 -1.4733165972268323
36 3.1134232043327694 -1.5327885764135725 0.7127195128739727 -1.6375546223859188 -1.681743627950325 -1.4670884981624186
37 3.1121598463368034 -1.5317651456304733 0.7309562117095545 -1.6405848897138884 -1.686210861160351 -1.460600433048648
38 3.1107906214699534 -1.5307421527266392 0.7489999370353324 -1.6437115268782625 -1.6906451101351552 -1.453846485459148
39 3.1093094934755108 -1.5297196255034067 0.7668399231335105 -1.6469370028650168 -1.6950374983782641 -1.4468207389675447
40 3.1077104260967667 -1.528697591762113 0.7844654042862931 -1.650263786660128 -1.6993791493932044 -1.439517277147465
41 3.1059907358013104 -1.5276762126590098 0.8018646277790042 -1.65369440513271 -1.7036647276306893 -1.431934748184302
42 3.1041611499539132 -1.5266561827700043 0.8190218929094475 -1.6572316166844283 -1.7079030613301789 -1.424090058710521
43 3.1022357486436447 -1.5256383300259182 0.8359205119785463 -1.6608782376000855 -1.7121065196783205 -1.4160046799703527
44 3.100228611959573 -1.5246234823575715 0.8525437972872231 -1.664637084164484 -1.71628747186176 -1.407700083208029
45 3.098153819990769 -1.5236124676957876 0.8688750611364021 -1.6685109726624276 -1.7204582870671459 -1.399197739667782
46 3.0960254528263005 -1.5226061139713873 0.8848976158270062 -1.6725027193787187 -1.7246313344811242 -1.390519120593843
47 3.0938575905552352 -1.5216052491151912 0.9005947736599581 -1.6766151405981595 -1.7288189832903416 -1.3816856972304439
48 3.0916643132666444 -1.5206107010580219 0.915949846936182 -1.680851052605554 -1.7330336026814464 -1.372718940821816
49 3.089459701049595 -1.5196232977307 0.9309461479566006 -1.6852132716857047 -1.737287561841084 -1.363640322612191
50 3.087257833993157 -1.5186438670640479 0.9455669890221373 -1.6897046141234142 -1.7415932299559023 -1.354471313845801
51 3.0850727921863985 -1.517673236988886 0.9597956824337152 -1.6943278962034851 -1.7459629762125477 -1.3452333857668772
52 3.0829186557183905 -1.5167122354360365 0.9736155404922578 -1.6990859342107218 -1.7504091697976683 -1.335948009619652
53 3.0808095046781987 -1.51576169033632 0.987009875498688 -1.7039815444299249 -1.7549441798979093 -1.326636656648356
54 3.0787594191548955 -1.514822429620559 0.9999619997539293 -1.7090175431458987 -1.759580375699919 -1.3173207980972217
55 3.076782479237546 -1.513895281219574 1.0124552255589048 -1.7141967466434456 -1.764330126390344 -1.3080219052104802
56 3.0748927650152225 -1.5129810730641873 1.024472865214538 -1.7195219712073686 -1.7692058011558314 -1.2987614492323634
57 3.073104356576993 -1.5120806330852201 1.0359982310217521 -1.7249960331224707 -1.7742197691830277 -1.2895609014071034
58 3.0714313340119253 -1.511194789213493 1.0470146352814698 -1.7306217486735544 -1.77938439965858 -1.280441732978931
59 3.069887777409089 -1.5103243693798285 1.057505390294615 -1.736401934145423 -1.7847120617691359 -1.2714254151920787
60 3.068487766857553 -1.5094702015150474 1.0674538083621106 -1.742339405822879 -1.7902151247013418 -1.2625334192907778
61 3.0672422888265714 -1.5086327789442786 1.076852120565755 -1.74843547558438 -1.7959021440000598 -1.253782442825924
62 3.0661499553061335 -1.5078112565698774 1.0857282331108458 -1.7546854376830021 -1.8017664206430115 -1.2451700885750714
63 3.0652062846664148 -1.507004454688506 1.0941189709835553 -1.7610830819654764 -1.8077974419661338 -1.2366891856224367
64 3.0644067952775873 -1.5062111935968263 1.102061159170055 -1.767622198278532 -1.8139846953053627 -1.228332563052237
65 3.0637470055098275 -1.5054302935915014 1.109591622656519 -1.7742965764689005 -1.8203176679966357 -1.2200930499486908
66 3.0632224337333107 -1.504660574969194 1.116747186429119 -1.7811000063833131 -1.8267858473758896 -1.2119634753960158
67 3.0628285983182093 -1.5039008580265647 1.1235646754740265 -1.788026277868499 -1.8333787207790595 -1.2039366684784278
68 3.062561017634699 -1.5031499630602774 1.1300809147774153 -1.7950691807711898 -1.8400857755420843 -1.1960054582801463
69 3.062415210052953 -1.5024067103669938 1.1363327293254568 -1.8022225049381153 -1.8468964990008983 -1.1881626738853874
70 3.062386693943148 -1.5016699202433765 1.1423569441043235 -1.809480040216007 -1.85380037849144 -1.180401144378369
71 3.0624709876754563 -1.5009384129860877 1.1481903841001886 -1.8168355764515947 -1.8607869013496456 -1.1727136988433091
72 3.062663609620054 -1.5002110088917897 1.1538698742992242 -1.82428290349161 -1.8678455549114519 -1.165093166364425
73 3.0629600781471145 -1.4994865282571448 1.159432239687602 -1.831815811182782 -1.8749658265127944 -1.1575323760259337
74 3.0633559116268128 -1.4987637913788157 1.1649143052514952 -1.8394280893718429 -1.8821372034896113 -1.150024156912053
75 3.0638466284293226 -1.4980416185534637 1.170352895977076 -1.8471135279055217 -1.889349173177838 -1.1425613381070003
76 3.06442774692482 -1.4973188300777527 1.1757848368505164 -1.8548659166305503 -1.896591222913412 -1.1351367486949935
77 3.0650947854834785 -1.4965942462483441 1.1812469528579896 -1.8626790453936592 -1.9038528400322705 -1.12774321776025
78 3.065843262475472 -1.4958666873619 1.1867760689856677 -1.8705467040415782 -1.9111235118703485 -1.120373574386987
79 3.066668696270976 -1.4951349737150836 1.1924090102197227 -1.8784626824210382 -1.918392725763584 -1.113020647659422
80 3.067566605240164 -1.4943979256045565 1.1981826015463273 -1.88642077037877 -1.925649969047913 -1.1056772666617727
81 3.0685332890841277 -1.4936546629863476 1.204124384751955 -1.8944165234570847 -1.9328891137789477 -1.098339374294418
82 3.0695681728276214 -1.4929055044539496 1.2102247688242824 -1.9024525599806141 -1.940121570891 -1.0910153687223823
83 3.070671462826315 -1.4921510682602221 1.2164648795512873 -1.910533263969571 -1.9473631360380574 -1.083716761926851
84 3.0718433654358788 -1.4913919726580236 1.2228258427209475 -1.9186630194441665 -1.9546296048741063 -1.0764550658890095
85 3.0730840870119853 -1.4906288359002138 1.2292887841212405 -1.9268462104246151 -1.9619367730531347 -1.0692417925900441
