Index Roll Pitch Yaw
0 -1.1071679898337141 -1.5705809252346223 1.1056716537599662
1 4.56526329892108 -1.5520115919351065 -4.570553816842043
2 -1.3334883063695617 -1.5326439613941243 1.3387760886749134
3 -1.4711909446333267 -1.5149125715304992 1.4718204125248278
4 -1.5482956567761734 -1.4965853303573213 1.543871198980833
5 4.6849521834595516 -1.477925404226962 -4.694675081369158
6 -1.480268298121958 -1.4587039661100962 1.4825261109885894
7 -1.524186207415306 -1.4402788114123526 1.5209917531652248
8 -1.5589327071115098 -1.4216247088150262 1.5501150557207244
9 4.6958226786125365 -1.4027900251740628 -4.710414372736562
10 -1.513620837927514 -1.383482507959668 1.5123102789690757
11 -1.540474962060682 -1.3648157995704915 1.5331440769516562
12 -1.5639048339918822 -1.3460091375420773 1.5504108387594182
13 4.698522338932378 -1.3270851527837064 1.5648674710536654
14 -1.5302014785186953 -1.3077275563753061 1.5061169080434431
15 -1.551216771515966 -1.2889919883191607 1.5206064779541064
16 -1.5704134458389127 -1.2701662585138442 1.533129639957648
17 4.695077647021771 -1.2512674293213675 1.544001683609626
18 -1.5432634500425744 -1.2319753204081767 1.4952839207688045
19 -1.5612919728855363 -1.2133238730619127 1.5061941820618059
20 4.704966221520948 -1.1946297026660944 1.5158391127656525
21 -1.5383208053494593 -1.17524411572293 1.472408748110832
22 -1.5555065217710102 -1.156860107705489 1.481959640569169
23 4.711317200071566 -1.1384687130147346 1.490504437936763
24 -1.5352089036514038 -1.1190777472902214 1.4506840776953536
25 -1.5518151526119373 -1.1010738777848648 1.4590649775677882
26 -1.5677989427961174 -1.0831034903234973 1.4666208756301735
27 4.69994142737157 -1.0651841990054054 1.4734283041930842
28 -1.5486770770400486 -1.0462201912008104 1.4362822545388556
29 -1.5644567135036205 -1.0288153325724134 1.4429418964832883
30 4.7033548833014 -1.0115104236501649 1.4489622463659648
31 -1.5463486123287518 -0.9927132092031665 1.4133982683612203
32 -1.5620576875649927 -0.9760376011969744 1.4192157953453788
33 4.705717578679703 -0.9595184093258399 1.424476454404513
34 -1.5444337772495538 -0.9409536391223744 1.3899348981206856
35 -1.5601812475872454 -0.9251960630720856 1.3949429486804021
36 4.7074683074714425 -0.9096594323677155 1.399457928369534
37 -1.5425974847915058 -0.8913836893567503 1.3654993019007122
38 -1.5584656844973934 -0.8767580637494353 1.369712902665396
39 4.7089920105523655 -0.862425682963315 1.3734844926136316
40 -1.5405258709164582 -0.8444827985608147 1.3397560234675483
41 -1.556566309517386 -0.83122526166551 1.3431769621361065
42 4.7106629588878475 -0.8183393963840748 1.3461988517570527
43 -1.537901843878828 -0.8007543731833264 1.3124173359559923
44 -1.5541291377751958 -0.7891153824062531 1.3150392187916182
45 -1.5703131435353996 -0.7779289464531619 1.3173008432451891
46 4.696712584443084 -0.7672221585521346 1.319219464123849
47 -1.549779198493935 -0.7506578634771284 1.284809195231591
48 -1.5661483370113274 -0.7414254175560008 1.2862959783911143
49 4.698297880990086 -0.7330539988885503 1.2845779365588372
50 -1.5485504394598744 -0.7170810155904885 1.2471659605561851
51 -1.567085968561142 -0.7104052108094422 1.2452589293783047
52 4.6976805899465575 -0.7034887552928175 1.2438401778835755
53 -1.5470945730312908 -0.6860790553844026 1.2072460132692702
54 -1.5654232852573196 -0.6806208994810172 1.2056556990808573
55 4.6997822491804495 -0.6760379441225817 1.2040637178668825
56 -1.5422179240310516 -0.6592068363586112 1.1670643622645396
57 -1.5597588070755015 -0.6570171872542775 1.1647828326032892
58 4.706243022927245 -0.6556694749533934 1.1625581708102795
59 -1.5331709596336354 -0.6391388695214965 1.1251175985735582
60 -1.549754758071571 -0.6400691802771591 1.1221560119543796
61 -1.5659763543744898 -0.641726797821042 1.1193250285040763
62 4.7013310130613775 -0.6440681270084215 1.1166317083919313
63 -1.5347130155145141 -0.6281813324384705 1.0786071295988333
64 -1.5498727152679086 -0.6324919280658372 1.075165103346086
65 -1.5646151333788123 -0.6375222138971288 1.0718187899792708
66 4.704164096982825 -0.6430533069842685 1.0686692007745364
67 -1.5291032372987443 -0.6271978381445762 1.0300483694773943
68 -1.5426592836557353 -0.6344126940960413 1.0260995934395791
69 -1.555888706779168 -0.6419618660951856 1.022409421999987
70 -1.5688108339603204 -0.6498067804057345 1.018970028724819
71 4.7017406444938885 -0.6579121305362294 1.0157730946636683
72 -1.5285579382045014 -0.6418721890941647 0.9764195682141112
73 -1.5403057081840599 -0.6512950227230373 0.9723878560364865
74 -1.55177524118224 -0.6608457887955262 0.96864149815613
75 -1.5629834441461976 -0.6705028157134987 0.9651645378610758
76 4.709238617760234 -0.6802472212614699 0.9619413098122842
77 -1.5185997622706 -0.6633788725495888 0.9216684491788403
78 -1.5286414639138566 -0.6741847859014941 0.9175476210935836
79 -1.5384449506655762 -0.6849750490393237 0.9137119703818986
80 -1.5480234890042124 -0.6957422124492277 0.9101400906637402
81 -1.5573897343773346 -0.7064805390120606 0.9068114557014106
82 -1.5665556831143879 -0.7171857604588981 0.9037064253044331
83 4.707356437314722 -0.7274195393321872 0.9011834688077989
84 -1.5172638481293723 -0.7096204137257677 0.8594601624127329
85 -1.525232524215538 -0.7213024787864013 0.8554181140946433
86 -1.5330127597913616 -0.7328509372642729 0.8516195906152411
87 -1.5406115749110034 -0.74427257254673 0.8480395972341994
88 -1.5483991363652012 -0.7551256295899583 0.845098228644142
89 -1.5559954341462765 -0.7659415063603903 0.8422796323099457
90 -1.5634080707880011 -0.7767183148040273 0.8395681706479516
91 -1.5706437114990508 -0.7874548636895009 0.8369487189542268
