Index Joint1 Joint2 Joint3 Joint4 Joint5 Joint6
0 0.0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0 0.0
5 0.0 0.0 0.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 0.0 0.0
7 0.0 0.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 0.0
9 0.0 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0
11 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0
13 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 0.0 0.0 0.0 0.0 0.0
15 0.0 0.0 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0 0.0 0.0
17 0.0 0.0 0.0 0.0 0.0 0.0
18 0.0 0.0 0.0 0.0 0.0 0.0
19 0.0 0.0 0.0 0.0 0.0 0.0
20 0.0 0.0 0.0 0.0 0.0 0.0
21 0.0 0.0 0.0 0.0 0.0 0.0
22 0.0 0.0 0.0 0.0 0.0 0.0
23 0.0 0.0 0.0 0.0 0.0 0.0
24 0.0 0.0 0.0 0.0 0.0 0.0
25 0.0 0.0 0.0 0.0 0.0 0.0
26 0.0 0.0 0.0 0.0 0.0 0.0
27 0.0 0.0 0.0 0.0 0.0 0.0
28 0.0 0.0 0.0 0.0 0.0 0.0
29 0.0 0.0 0.0 0.0 0.0 0.0
30 0.0 0.0 0.0 0.0 0.0 0.0
31 0.0 0.0 0.0 0.0 0.0 0.0
32 0.0 0.0 0.0 0.0 0.0 0.0
33 0.0 0.0 0.0 0.0 0.0 0.0
34 0.0 0.0 0.0 0.0 0.0 0.0
35 0.0 0.0 0.0 0.0 0.0 0.0
36 0.0 0.0 0.0 0.0 0.0 0.0
37 0.0 0.0 0.0 0.0 0.0 0.0
38 0.0 0.0 0.0 0.0 0.0 0.0
39 0.0 0.0 0.0 0.0 0.0 0.0
40 0.0 0.0 0.0 0.0 0.0 0.0
41 0.0 0.0 0.0 0.0 0.0 0.0
42 0.0 0.0 0.0 0.0 0.0 0.0
43 0.0 0.0 0.0 0.0 0.0 0.0
44 0.0 0.0 0.0 0.0 0.0 0.0
45 0.0 0.0 0.0 0.0 0.0 0.0
46 0.0 0.0 0.0 0.0 0.0 0.0
47 0.0 0.0 0.0 0.0 0.0 0.0
48 0.0 0.0 0.0 0.0 0.0 0.0
49 0.0 0.0 0.0 0.0 0.0 0.0
50 0.0 0.0 0.0 0.0 0.0 0.0
51 -1.5978810387618063e-05 4.0540697251745065e-05 2.4160474354611064e-05 -5.450480427935653e-06 -2.5407142966493035e-06 0.0
52 -1.4726396319114087e-05 4.299316011132993e-05 2.4375794678694248e-05 -6.207920679380058e-06 -1.6476291308127564e-06 0.0
53 1.1774234670860382e-05 7.441926307811644e-05 3.4189399839259007e-05 -1.383997132811114e-05 1.2052224143681787e-05 0.0
54 1.5077990444605307e-05 7.114739128972545e-05 2.733960570797744e-05 -1.514394742025307e-05 1.3283398711230727e-05 0.0
55 1.8357324776896753e-05 6.677270109500168e-05 1.9722646030380967e-05 -1.6315861080124608e-05 1.4351398568686465e-05 0.0
56 1.5030044712740384e-05 6.502486401607497e-05 1.2595566357252816e-05 -1.837753742949731e-05 1.2915458889531743e-05 0.0
57 1.8537160218701003e-05 5.9239858424927556e-05 4.3497003937808705e-06 -1.9242587706787777e-05 1.3900217620102549e-05 0.0
58 2.1795774698761776e-05 5.312037404271678e-05 -3.7494111064637627e-06 -1.9919908784066023e-05 1.4687246664980769e-05 0.0
59 1.8026688297850793e-05 4.965177120929308e-05 -1.1882910489054228e-05 -2.171083187385286e-05 1.3004256739120421e-05 0.0
60 2.1357751257819983e-05 4.33491944370568e-05 -1.9229637825312675e-05 -2.202721029062943e-05 1.3750238660960512e-05 0.0
61 2.4323846649918567e-05 3.7194099018494274e-05 -2.6020254173706582e-05 -2.2189063878450063e-05 1.4303485903568829e-05 0.0
62 -6.281034006063851e-06 2.6581136422333928e-05 -6.0375478322403384e-05 -3.079276800953104e-05 2.025094915273665e-06 0.0
63 2.2805074065133715e-05 2.78594913669311e-05 -3.9273632655875525e-05 -2.361169197989987e-05 1.2983110988873492e-05 0.0
64 -6.657982751672958e-06 1.4771272795157135e-05 -7.566643738951164e-05 -3.2050373340614425e-05 9.618536862468436e-07 0.0
65 -4.172891274108212e-06 1.1171412054072123e-05 -8.00368592766799e-05 -3.215715437125982e-05 1.4618300375257209e-06 0.0
66 -1.9006120614249902e-06 7.748738645007593e-06 -8.403516198137084e-05 -3.219204371272848e-05 1.8640896292554474e-06 0.0
67 -5.218400098579427e-06 3.58293529808023e-07 -9.234792761542149e-05 -3.272088884863177e-05 2.52087200026138e-07 0.0
